team,team_slug,league,football_season,season_type,season_type_name,event_id,event_name,short_name,game_datetime_utc,game_datetime_pacific,game_date_pacific,kickoff_time_pacific,time_valid,week,home_away,opponent_id,opponent,opponent_abbreviation,team_score,opponent_score,result,completed,status,neutral_site,venue,venue_city,venue_state,broadcasts,notes,source_url
Oregon State Beavers,oregon-state,college-football,2022,3,Postseason,401441999,Florida Gators at Oregon State Beavers,FLA VS ORST,2022-12-17T19:30:00+00:00,2022-12-17T11:30:00-08:00,2022-12-17,11:30,True,1,home,57,Florida Gators,FLA,30,3,W,True,Final,True,Allegiant Stadium,Las Vegas,NV,,SRS Distribution Las Vegas Bowl,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2022&seasontype=3
Seattle Seahawks,seattle-seahawks,nfl,2022,2,Regular Season,401437922,Seattle Seahawks at Kansas City Chiefs,SEA @ KC,2022-12-24T18:00:00+00:00,2022-12-24T10:00:00-08:00,2022-12-24,10:00,True,16,away,12,Kansas City Chiefs,KC,10,24,L,True,Final,False,Arrowhead Stadium,Kansas City,MO,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2022&seasontype=2
Oregon Ducks,oregon,college-football,2022,3,Postseason,401470891,Oregon Ducks at North Carolina Tar Heels,ORE VS UNC,2022-12-29T01:00:00+00:00,2022-12-28T17:00:00-08:00,2022-12-28,17:00,True,1,away,153,North Carolina Tar Heels,UNC,28,27,W,True,Final,True,Petco Park,San Diego,CA,,San Diego County Credit Union Holiday Bowl,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2022&seasontype=3
Seattle Seahawks,seattle-seahawks,nfl,2022,2,Regular Season,401437944,New York Jets at Seattle Seahawks,NYJ @ SEA,2023-01-01T21:05:00+00:00,2023-01-01T13:05:00-08:00,2023-01-01,13:05,True,17,home,20,New York Jets,NYJ,23,6,W,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2022&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2022,2,Regular Season,401437963,Los Angeles Rams at Seattle Seahawks,LAR @ SEA,2023-01-08T21:25:00+00:00,2023-01-08T13:25:00-08:00,2023-01-08,13:25,True,18,home,14,Los Angeles Rams,LAR,19,16,W,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2022&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2022,3,Postseason,401438000,Seattle Seahawks at San Francisco 49ers,SEA @ SF,2023-01-14T21:30:00+00:00,2023-01-14T13:30:00-08:00,2023-01-14,13:30,True,1,away,25,San Francisco 49ers,SF,23,41,L,True,Final,False,Levi's Stadium,Santa Clara,CA,,NFC Wild Card Playoffs,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2022&seasontype=3
Oregon Ducks,oregon,college-football,2023,2,Regular Season,401523992,Portland State Vikings at Oregon Ducks,PRST @ ORE,2023-09-02T19:00:00+00:00,2023-09-02T12:00:00-07:00,2023-09-02,12:00,True,1,home,2502,Portland State Vikings,PRST,81,7,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2023&seasontype=2
Oregon State Beavers,oregon-state,college-football,2023,2,Regular Season,401532573,Oregon State Beavers at San José State Spartans,ORST @ SJSU,2023-09-03T19:30:00+00:00,2023-09-03T12:30:00-07:00,2023-09-03,12:30,True,1,away,23,San José State Spartans,SJSU,42,17,W,True,Final,False,CEFCU Stadium,San Jose,CA,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2023&seasontype=2
Oregon Ducks,oregon,college-football,2023,2,Regular Season,401524002,Oregon Ducks at Texas Tech Red Raiders,ORE @ TTU,2023-09-09T23:00:00+00:00,2023-09-09T16:00:00-07:00,2023-09-09,16:00,True,2,away,2641,Texas Tech Red Raiders,TTU,38,30,W,True,Final,False,Galaxy Stadium,Lubbock,TX,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2023&seasontype=2
Oregon State Beavers,oregon-state,college-football,2023,2,Regular Season,401524000,UC Davis Aggies at Oregon State Beavers,UCD @ ORST,2023-09-10T01:00:00+00:00,2023-09-09T18:00:00-07:00,2023-09-09,18:00,True,2,home,302,UC Davis Aggies,UCD,55,7,W,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2023&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2023,2,Regular Season,401547408,Los Angeles Rams at Seattle Seahawks,LAR @ SEA,2023-09-10T20:25:00+00:00,2023-09-10T13:25:00-07:00,2023-09-10,13:25,True,1,home,14,Los Angeles Rams,LAR,13,30,L,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2023&seasontype=2
Oregon State Beavers,oregon-state,college-football,2023,2,Regular Season,401524009,San Diego State Aztecs at Oregon State Beavers,SDSU @ ORST,2023-09-16T19:30:00+00:00,2023-09-16T12:30:00-07:00,2023-09-16,12:30,True,3,home,21,San Diego State Aztecs,SDSU,26,9,W,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2023&seasontype=2
Oregon Ducks,oregon,college-football,2023,2,Regular Season,401524008,Hawai'i Rainbow Warriors at Oregon Ducks,HAW @ ORE,2023-09-17T00:00:00+00:00,2023-09-16T17:00:00-07:00,2023-09-16,17:00,True,3,home,62,Hawai'i Rainbow Warriors,HAW,55,10,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2023&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2023,2,Regular Season,401547418,Seattle Seahawks at Detroit Lions,SEA @ DET,2023-09-17T17:00:00+00:00,2023-09-17T10:00:00-07:00,2023-09-17,10:00,True,2,away,8,Detroit Lions,DET,37,31,W,True,Final,False,Ford Field,Detroit,MI,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2023&seasontype=2
